id,location,state,file,fileSource,latitude,longitude,Tout,ToutDailyVar,ToutAnnualVar,CDD18,CDD25,radDirNorm,radDiffHoriz,windSpeedMet,elevation,CDD18study
236,Soure,PA,BRA_PA_Soure.821410_INMET.epw,INMET,-0.81,-48.52,28.07552511,4.543287671,5.041666667,3677.566667,1131.579167,110.565411,96.35958904,2.739840183,11,3244.5
237,Tomé Açu,PA,BRA_PA_Tome.Acu.817110_INMET.epw,INMET,-2.59,-48.36,25.9977968,9.722191781,5.2,2919.195833,706.225,81.10365297,106.5672374,1.030901826,38,2586.525
238,Tucuruí,PA,BRA_PA_Tucurui.817430_INMET.epw,INMET,-3.82,-49.68,27.36156393,6.821369863,5.129166667,3416.970833,917.7375,79.09006849,100.88379,1.38140411,148,3011.904167
239,Areia,PB,BRA_PB_Areia.818770_INMET.epw,INMET,-6.96,-35.69,22.47221461,6.597534247,5.408333333,1632.766667,129.5583333,81.18413242,106.7622146,3.989737443,575,1415.725
240,Cabaceiras,PB,BRA_PB_Cabaceiras.819150_INMET.epw,INMET,-7.48,-36.29,25.37600457,10.0169863,7.05,2697.320833,632.4291667,106.4271689,101.9010274,2.883184932,436,2344.466667
241,Camaratuba,PB,BRA_PB_Camaratuba.818780_INMET.epw,INMET,-6.61,-35.13,24.85134703,7.10739726,5.154166667,2500.741667,389.7916667,92.80901826,105.1318493,3.428538813,136,2184.445833
242,Campina Grande,PB,BRA_PB_Campina.Grande.819160_INMET.epw,INMET,-7.23,-35.88,23.62342466,7.861369863,5.625,2053.354167,287.8166667,95.64977169,104.6973744,3.095468037,548,1788.083333
243,João Pessoa,PB,BRA_PB_Joao.Pessoa.819180_INMET.epw,INMET,-7.11,-34.86,26.01545662,5.568767123,5.658333333,2925.641667,550.3166667,107.7302511,100.4534247,2.431210046,44,2557.716667
244,Monteiro,PB,BRA_PB_Monteiro.819140_INMET.epw,INMET,-7.89,-37.12,24.2397032,10.5369863,7.170833333,2295.395833,499.7541667,121.3679224,96.5890411,2.607009132,604,1988.458333
245,Patos,PB,BRA_PB_Patos.819130_INMET.epw,INMET,-7.02,-37.28,27.24381279,10.18273973,6.9125,3373.991667,1023.870833,128.1454338,94.06506849,2.864611872,249,2936.870833
246,São Gonçalo,PB,BRA_PB_Sao.Goncalo.817740_INMET.epw,INMET,-6.84,-38.31,26.82941781,10.9630137,7.1875,3225.804167,945.2833333,130.3289954,93.03356164,1.669520548,234,2867.5875
247,Arcoverde,PE,BRA_PE_Arcoverde.819530_INMET.epw,INMET,-8.42,-37.05,23.58666667,10.14054795,8.4625,2051.775,426.3166667,108.3107306,98.46312785,3.100353881,681,1773.216667
248,Cabrobó,PE,BRA_PE_Cabrobo.828860_INMET.epw,INMET,-8.5,-39.31,26.78030822,9.67260274,8.2875,3204.904167,933.4833333,108.5635845,99.98378995,3.094691781,342,2788.65
249,Caruaru,PE,BRA_PE_Caruaru.828950_INMET.epw,INMET,-8.24,-35.99,23.33968037,9.327671233,6.333333333,1957.179167,314.6208333,92.46221461,105.2408676,2.843242009,550,1693.333333
